ID,Soc_ID,Var_ID,Value,Code_ID,Comment,Source,sub_case,year,source_coded_data,admin_comment
1,B1,AmphibianRichness,40.79132865,,,,,2013,,
2,B10,AmphibianRichness,,,,,,2013,,
3,B100,AmphibianRichness,,,,,,2013,,
4,B101,AmphibianRichness,18.71224044,,,,,2013,,
5,B102,AmphibianRichness,,,,,,2013,,
6,B103,AmphibianRichness,,,,,,2013,,
7,B104,AmphibianRichness,6,,,,,2013,,
8,B105,AmphibianRichness,42.72004381,,,,,2013,,
9,B106,AmphibianRichness,6,,,,,2013,,
10,B107,AmphibianRichness,41.90619586,,,,,2013,,
11,B108,AmphibianRichness,6.621227322,,,,,2013,,
12,B109,AmphibianRichness,5,,,,,2013,,
13,B11,AmphibianRichness,27.50212769,,,,,2013,,
14,B110,AmphibianRichness,45.02695333,,,,,2013,,
15,B111,AmphibianRichness,3,,,,,2013,,
16,B112,AmphibianRichness,3,,,,,2013,,
17,B113,AmphibianRichness,2,,,,,2013,,
18,B114,AmphibianRichness,27.33907942,,,,,2013,,
19,B115,AmphibianRichness,39.93939732,,,,,2013,,
20,B116,AmphibianRichness,8,,,,,2013,,
21,B117,AmphibianRichness,6,,,,,2013,,
22,B118,AmphibianRichness,4,,,,,2013,,
23,B119,AmphibianRichness,33.37510615,,,,,2013,,
24,B12,AmphibianRichness,12.18419545,,,,,2013,,
25,B120,AmphibianRichness,3,,,,,2013,,
26,B121,AmphibianRichness,5,,,,,2013,,
27,B122,AmphibianRichness,5,,,,,2013,,
28,B123,AmphibianRichness,2.497147431,,,,,2013,,
29,B124,AmphibianRichness,4,,,,,2013,,
30,B125,AmphibianRichness,14,,,,,2013,,
31,B126,AmphibianRichness,3,,,,,2013,,
32,B127,AmphibianRichness,,,,,,2013,,
33,B128,AmphibianRichness,2,,,,,2013,,
34,B129,AmphibianRichness,,,,,,2013,,
35,B13,AmphibianRichness,12.18419545,,,,,2013,,
36,B130,AmphibianRichness,10.32446821,,,,,2013,,
37,B131,AmphibianRichness,7.332096575,,,,,2013,,
38,B132,AmphibianRichness,10,,,,,2013,,
39,B133,AmphibianRichness,6,,,,,2013,,
40,B134,AmphibianRichness,,,,,,2013,,
41,B135,AmphibianRichness,17.35171771,,,,,2013,,
42,B136,AmphibianRichness,7,,,,,2013,,
43,B137,AmphibianRichness,5,,,,,2013,,
44,B14,AmphibianRichness,8.565634687,,,,,2013,,
45,B143,AmphibianRichness,6,,,,,2013,,
46,B144,AmphibianRichness,7.292685622,,,,,2013,,
47,B145,AmphibianRichness,9.232084828,,,,,2013,,
48,B146,AmphibianRichness,2,,,,,2013,,
49,B147,AmphibianRichness,8.509799468,,,,,2013,,
50,B148,AmphibianRichness,3,,,,,2013,,
51,B149,AmphibianRichness,6.190502446,,,,,2013,,
52,B15,AmphibianRichness,17,,,,,2013,,
53,B150,AmphibianRichness,10,,,,,2013,,
54,B151,AmphibianRichness,9.919245737,,,,,2013,,
55,B152,AmphibianRichness,7,,,,,2013,,
56,B153,AmphibianRichness,9.467027367,,,,,2013,,
57,B154,AmphibianRichness,8.189691436,,,,,2013,,
58,B155,AmphibianRichness,8,,,,,2013,,
59,B156,AmphibianRichness,9,,,,,2013,,
60,B157,AmphibianRichness,2,,,,,2013,,
61,B158,AmphibianRichness,13.98708712,,,,,2013,,
62,B159,AmphibianRichness,11.09848411,,,,,2013,,
63,B16,AmphibianRichness,30,,,,,2013,,
64,B160,AmphibianRichness,11.99399721,,,,,2013,,
65,B161,AmphibianRichness,7.704780931,,,,,2013,,
66,B162,AmphibianRichness,14,,,,,2013,,
67,B163,AmphibianRichness,8.436097833,,,,,2013,,
68,B164,AmphibianRichness,9.9006425,,,,,2013,,
69,B165,AmphibianRichness,12.15062296,,,,,2013,,
70,B166,AmphibianRichness,15.78670677,,,,,2013,,
71,B167,AmphibianRichness,10.78670677,,,,,2013,,
72,B168,AmphibianRichness,12.15062296,,,,,2013,,
73,B169,AmphibianRichness,15.02264346,,,,,2013,,
74,B17,AmphibianRichness,29.04655534,,,,,2013,,
75,B170,AmphibianRichness,8,,,,,2013,,
76,B171,AmphibianRichness,8.593933615,,,,,2013,,
